--------- beginning of main
04-07 13:21:12.812  4970  4970 I Choreographer: Skipped 50 frames!  The application may be doing too much work on its main thread.
04-07 13:21:13.575  4970  5022 I HWUI    : Davey! duration=1597ms; Flags=0, FrameTimelineVsyncId=17331, IntendedVsync=275084873117, Vsync=275601539763, InputEventId=0, HandleInputStart=275617642506, AnimationStart=275617643548, PerformTraversalsStart=275647136673, DrawStart=275647519506, FrameDeadline=276951539709, FrameStartTime=275617314589, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=275647550548, SyncStart=276530809215, IssueDrawCommandsStart=276531044715, SwapBuffers=276935859673, FrameCompleted=277565761923, DequeueBufferDuration=21743917, QueueBufferDuration=6053750, GpuCompleted=277565761923, SwapBuffersCompleted=277203810548, DisplayPresentTime=0, CommandSubmissionCompleted=276935859673, 
04-07 13:21:13.577  4970  4970 I Choreographer: Skipped 45 frames!  The application may be doing too much work on its main thread.
04-07 13:21:14.075  4970  5022 I HWUI    : Davey! duration=1740ms; Flags=0, FrameTimelineVsyncId=17346, IntendedVsync=275734873091, Vsync=276518206393, InputEventId=0, HandleInputStart=276534361965, AnimationStart=276534364006, PerformTraversalsStart=276545414298, DrawStart=276545788131, FrameDeadline=277584873017, FrameStartTime=276533806631, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=276545819340, SyncStart=277203917173, IssueDrawCommandsStart=277204068132, SwapBuffers=277569189923, FrameCompleted=278133526715, DequeueBufferDuration=563370792, QueueBufferDuration=310375, GpuCompleted=278133440049, SwapBuffersCompleted=278133526715, DisplayPresentTime=0, CommandSubmissionCompleted=277569189923, 
04-07 13:21:14.609  4970  4984 I HWUI    : Davey! duration=1519ms; Flags=0, FrameTimelineVsyncId=17361, IntendedVsync=276534873059, Vsync=277368206359, InputEventId=0, HandleInputStart=277377062715, AnimationStart=277377064882, PerformTraversalsStart=277385559298, DrawStart=277385775465, FrameDeadline=278151539661, FrameStartTime=277370356715, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=277385802840, SyncStart=278133636215, IssueDrawCommandsStart=278133768465, SwapBuffers=278490624882, FrameCompleted=278801950882, DequeueBufferDuration=224291, QueueBufferDuration=141363125, GpuCompleted=278801950882, SwapBuffersCompleted=278633973341, DisplayPresentTime=0, CommandSubmissionCompleted=278490624882, 
04-07 13:21:14.624  4970  4970 I Choreographer: Skipped 30 frames!  The application may be doing too much work on its main thread.
04-07 13:21:15.277  4970  4984 I HWUI    : Davey! duration=1568ms; Flags=0, FrameTimelineVsyncId=17378, IntendedVsync=277384873025, Vsync=278134872995, InputEventId=0, HandleInputStart=278135582715, AnimationStart=278135583965, PerformTraversalsStart=278147695007, DrawStart=278147904882, FrameDeadline=278834872967, FrameStartTime=278135272590, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=278147930757, SyncStart=278634105882, IssueDrawCommandsStart=278634233049, SwapBuffers=279061319383, FrameCompleted=279439953133, DequeueBufferDuration=119081459, QueueBufferDuration=214791, GpuCompleted=279439953133, SwapBuffersCompleted=279181413133, DisplayPresentTime=0, CommandSubmissionCompleted=279061319383, 
04-07 13:21:15.379  4970  4970 I Choreographer: Skipped 42 frames!  The application may be doing too much work on its main thread.
04-07 13:21:15.909  4970  4984 I HWUI    : Davey! duration=1599ms; Flags=0, FrameTimelineVsyncId=17392, IntendedVsync=278151539661, Vsync=278634872975, InputEventId=0, HandleInputStart=278636897841, AnimationStart=278636898841, PerformTraversalsStart=278727060257, DrawStart=278727264674, FrameDeadline=279468206275, FrameStartTime=278636533591, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=278727291341, SyncStart=279181530924, IssueDrawCommandsStart=279183072299, SwapBuffers=279834588883, FrameCompleted=280205711633, DequeueBufferDuration=5250, QueueBufferDuration=916958, GpuCompleted=280205711633, SwapBuffersCompleted=279858522216, DisplayPresentTime=0, CommandSubmissionCompleted=279834588883, 
04-07 13:21:16.704  4970  5022 I HWUI    : Davey! duration=1710ms; Flags=0, FrameTimelineVsyncId=17407, IntendedVsync=278668206307, Vsync=279168206287, InputEventId=0, HandleInputStart=279219624591, AnimationStart=279219627174, PerformTraversalsStart=279282668883, DrawStart=279283768299, FrameDeadline=280234872911, FrameStartTime=279182579674, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=279283801216, SyncStart=279858673925, IssueDrawCommandsStart=279935776383, SwapBuffers=280468151675, FrameCompleted=280953329175, DequeueBufferDuration=4709, QueueBufferDuration=334792, GpuCompleted=280953329175, SwapBuffersCompleted=280469278758, DisplayPresentTime=0, CommandSubmissionCompleted=280468151675, 
04-07 13:21:16.705  4970  4970 I Choreographer: Skipped 41 frames!  The application may be doing too much work on its main thread.
04-07 13:21:17.004  4970  4984 I HWUI    : Davey! duration=1624ms; Flags=0, FrameTimelineVsyncId=17422, IntendedVsync=279234872951, Vsync=279934872923, InputEventId=0, HandleInputStart=279949196425, AnimationStart=279949198716, PerformTraversalsStart=280066127800, DrawStart=280066433591, FrameDeadline=280984872881, FrameStartTime=279937262675, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=280066459258, SyncStart=280469390050, IssueDrawCommandsStart=280469538217, SwapBuffers=280749282175, FrameCompleted=281262328092, DequeueBufferDuration=512007459, QueueBufferDuration=326583, GpuCompleted=281261897800, SwapBuffersCompleted=281262328092, DisplayPresentTime=0, CommandSubmissionCompleted=280749282175, 
04-07 13:21:17.903  4970  5022 I HWUI    : Davey! duration=1079ms; Flags=0, FrameTimelineVsyncId=17438, IntendedVsync=280151539581, Vsync=280518206233, InputEventId=0, HandleInputStart=280564933092, AnimationStart=280564934967, PerformTraversalsStart=280606779425, DrawStart=280606998717, FrameDeadline=281284872869, FrameStartTime=280533671758, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=280607024675, SyncStart=281262452259, IssueDrawCommandsStart=281262585717, SwapBuffers=281534227759, FrameCompleted=281886288592, DequeueBufferDuration=6875, QueueBufferDuration=37396666, GpuCompleted=281886288592, SwapBuffersCompleted=281618752759, DisplayPresentTime=0, CommandSubmissionCompleted=281534227759, 
04-07 13:21:17.905  4970  4970 I Choreographer: Skipped 47 frames!  The application may be doing too much work on its main thread.
04-07 13:21:19.005  4970  5022 I HWUI    : Davey! duration=1216ms; Flags=0, FrameTimelineVsyncId=17468, IntendedVsync=281268206203, Vsync=281634872855, InputEventId=0, HandleInputStart=281645452509, AnimationStart=281645453717, PerformTraversalsStart=281745334925, DrawStart=281766910384, FrameDeadline=281934872843, FrameStartTime=281645311675, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=281766950384, SyncStart=282460799801, IssueDrawCommandsStart=282463340384, SwapBuffers=282777539676, FrameCompleted=283178713843, DequeueBufferDuration=36917, QueueBufferDuration=4113958, GpuCompleted=283178713843, SwapBuffersCompleted=282784713718, DisplayPresentTime=0, CommandSubmissionCompleted=282777539676, 
04-07 13:21:19.045  4970  4970 I Choreographer: Skipped 41 frames!  The application may be doing too much work on its main thread.
04-07 13:21:19.715  4970  4982 I HWUI    : Davey! duration=2003ms; Flags=0, FrameTimelineVsyncId=17483, IntendedVsync=281668206187, Vsync=282451539489, InputEventId=0, HandleInputStart=282503787009, AnimationStart=282503809551, PerformTraversalsStart=282537511176, DrawStart=282538631843, FrameDeadline=283201539459, FrameStartTime=282463168092, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=282538676051, SyncStart=282784990009, IssueDrawCommandsStart=282785177884, SwapBuffers=283179563426, FrameCompleted=283918061885, DequeueBufferDuration=1058834, QueueBufferDuration=333292, GpuCompleted=283918061885, SwapBuffersCompleted=283563703635, DisplayPresentTime=0, CommandSubmissionCompleted=283179563426, 
04-07 13:21:19.759  4970  4970 I Choreographer: Skipped 30 frames!  The application may be doing too much work on its main thread.
